id,Proposal_no,user_id,Moef_file_no,Proposal_Name,category,user_agency_name,area_applied,date_from_ua_to_nodal,State_Name,proposal_status,date_of_recomm,user_id1
163,FP/TG/MRL/1/2014,2206,NA,Amrabad-Udimilla (Mahabubnagar district) & Narayanpur (Nalgonda district) Telangana State.,Mining,SOUTH CENTRAL REGION AMD DAE,8300,20-May-20,Telangana,PENDING WITH-SG,,2206
823,FP/TG/MRL/4/2019,7827,NA,KACHINAPALLI BLOCK-III,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,212,17-Aug-19,Telangana,Draft,,7827
805,FP/TG/MRL/3/2019,7827,NA,TADICHERLA BLOCK-II,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,478.68,22-Jul-19,Telangana,Under Examination,,7827
801,FP/TG/MRL/2/2019,7827,NA,Chinnur South Block-3,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,1206,15-May-19,Telangana,Draft,,7827
782,FP/TG/MRL/1/2019,7827,NA,Shantikhani Mine Block,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,911,5-Apr-19,Telangana,Draft,,7827
747,FP/TG/OTHERS/15/2018,80824,NA,"Ragampet Block, Karimnagar District, Telangana",Mining,GEOLOGICAL SURVEY OF INDIA,0.2502,7-Jan-19,Telangana,Under Examination,,80824
556,FP/TG/MRL/5/2017,61118,NA,"Bayyaram Block, Pagaderu village, Manuguru",Mining,GSICR,0.04,27-Nov-18,Telangana,Under Examination,,61118
746,FP/TG/MRL/14/2018,7827,NA,TADICHERLA BLOCK-II,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,1642,6-Nov-18,Telangana,Draft,,7827
744,FP/TG/MRL/13/2018,7827,NA,KACHINAPALLI BLOCK-II,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,497.41,6-Nov-18,Telangana,Draft,,7827
708,FP/TG/MRL/12/2018,7827,NA,Khairagura Block South - 49 Boreholes,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,488.29,11-Sep-18,Telangana,Draft,,7827
496,FP/TG/MRL/4/2017,7827,NA,PENAGADDPPA COAL MINE,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,231,4-May-18,Telangana,IN-PRINCIPLE,14-Mar-19,7827
659,FP/TG/MRL/11/2018,7827,NA,SOUTH OF KHAIRAGURA BLOCK,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,0,13-Apr-18,Telangana,Draft,,7827
473,FP/TG/MRL/1/2017,45221,NA,Siddapa gutta,Mining,GEOLOGICAL SURVEY OF INDIA,0,10-Jan-17,Telangana,Draft,,45221
419,FP/TG/MRL/4/2016,33259,NA,Nalgonda,Mining,GEOLOGICAL SURVEY OF INDIA,14493,25-May-16,Telangana,Draft,,33259
409,FP/TG/MRL/2/2016,33259,NA,Medaram Block (TS No. 65B/3),Mining,GEOLOGICAL SURVEY OF INDIA,20000,20-May-16,Telangana,Draft,,33259
413,FP/TG/MRL/3/2016,33259,NA,"AMRABAD RESERVED FOREST OF MAHBUBNAGAR DIST, TELANGANA",Mining,GEOLOGICAL SURVEY OF INDIA,6200,19-May-16,Telangana,Draft,,33259
367,FP/TG/MRL/1/2016,18232,NA,"Damarcherla,Duradapadu,Guntimadugu,Dacharam,Katkuru,Tirumalakunta,Bedadanuru,Lachapet & Vedanatpuram Reserve Forest blocks in Khammam district",Mining,GEOLOGICAL SURVEY OF INDIA,50000,6-Jan-16,Telangana,Draft,,18232
360,FP/TG/MRL/2/2015,18232,NA,Lingala block comes under Achampet,Mining,GEOLOGICAL SURVEY OF INDIA,20000,16-Dec-15,Telangana,Draft,,18232
359,FP/TG/MRL/1/2015,18232,NA,Kollapur and Lingal blocks under Achampet,Mining,GEOLOGICAL SURVEY OF INDIA,50000,16-Dec-15,Telangana,Draft,,18232
884,FP/TR/MRL/3/2020,8364,NA,Exploratory Drilling Location ROBM,Mining,ONGC,3.054,24-Jun-20,Tripura,Draft,,8364
886,FP/TR/MRL/5/2020,8364,NA,Drilling of Exploratory Location BMSU in West Tripura PML,Mining,ONGC,2.652,5-May-20,Tripura,Draft,,8364
879,FP/TR/MRL/2/2020,8364,NA,Exploratory Location SDAH in Tichna Block,Mining,ONGC,2.978,1-May-20,Tripura,Draft,,8364
